Bench	PID		time	Instr Ret	Unh Clk Cycles	l2 trans reqs	l1lines	l2lines	Per Core bw	Power	Power2	Power3	bandwidth	 	IPC	MEM INTENSIITY	L2->L1 BW (MB)	L3->L2 BW (MB)	MM->L3 BW (MB)	L2 REUSE	L3 REUSE
2mm_STANDARD		53951		 10029   	3422116654.60	9373905219.00	11713946.20	402662634.90	399709941.70	345923.70	33.00	0	97.00	0	0	.36	11713946.20	25.69	25.50	.02	1.01	2071.05
3mm_STANDARD		53983		 15046   	3336240456.00	9507081604.60	11126143.53	420366694.26	417120124.13	1062056.93	32.73	0	97.00	0	0	.35	11126143.53	26.82	26.61	.06	1.00	664.81
blackscholes		54014		 83268   	9516050026.02	6714184971.19	216353.74	19048413.32	29600192.31	5318480.10	26.97	0	97.00	0	0	0	216353.74	1.21	1.88	.33	.73	713.31
cholesky_STANDARD		54056		  6018   	18073232745.33	9373913369.00	9830684.00	400662900.66	529988016.83	146977.33	34.16	0	97.00	0	0	1.92	9830684.00	25.56	33.81	0	.75	7715.45
doitgen_STANDARD		54087		 14041   	15570029173.50	9281100101.35	90878.64	1966622865.78	6439166.57	4401672.85	35.28	0	97.00	0	0	1.67	90878.64	125.49	.41	.28	305.60	1.46
durbin_STANDARD		54118		  6019   	1445126817.66	4914150603.33	13132669.00	107816806.33	80979654.00	8986956.83	24.33	0	97.00	0	0	.29	13132669.00	6.87	5.16	.57	1.33	9.31
ep		54149		  9028   	7136845069.22	9553408068.33	125988.33	15710681.11	16249583.33	4002.88	29.66	0	97.00	0	0	.74	125988.33	1.00	1.03	0	.97	39398.33
ft		54180		  2007   	6158331557.50	6050472445.00	3028242.00	250566923.50	46394252.50	24231923.50	25.50	0	97.00	0	0	1.00	3028242.00	15.98	2.95	1.54	5.31	1.90
gemm_STANDARD		54212		 13038   	3616279417.69	9618029787.07	12686508.76	405861533.92	400518794.84	329312.15	34.30	0	97.00	0	0	.37	12686508.76	25.89	25.55	.02	1.01	1537.89
gemver_STANDARD		54243		  8025   	4363763974.12	9390412509.50	39483008.87	275067117.37	217159786.37	47301851.50	31.62	0	97.00	0	0	.46	39483008.50	17.54	13.85	3.01	1.26	4.59
gesummv_STANDARD		54274		  6018   	5058780557.83	9076363735.50	65319.33	103129058.83	81792294.50	77662836.16	30.50	0	97.00	0	0	.55	65319.33	6.58	5.21	4.95	1.26	1.05
gramschmidt_STANDARD		54305		 12039   	1176251011.16	6398165823.58	64794716.08	222293426.91	216824779.50	52139.08	28.58	0	97.00	0	0	.18	64794715.66	14.18	13.83	0	1.03	
jacLR		54336		 12040   	5491837915.00	9533631693.91	6424833.83	249685807.83	166412030.25	162414296.41	34.66	0	97.00	0	0	.57	6424833.83	15.92	10.61	10.36	1.50	1.02
mvt_STANDARD		54367		 10030   	3508088330.40	9299594351.80	44792869.50	262559886.40	231789420.40	39266196.40	31.50	0	97.00	0	0	.37	44792869.60	16.75	14.79	2.50	1.13	5.90
stream_d0		54409		  6018   	6520546629.50	9166099991.00	92357.50	200748057.00	201091687.50	195764986.66	36.50	0	97.00	0	0	.71	92357.50	12.80	12.83	12.49	.99	1.02
syr2k_STANDARD		54440		 14043   	19271387148.42	9568090842.07	2955501.57	413199679.35	382415309.85	43023048.00	38.92	0	97.00	0	0	2.01	2955501.57	26.36	24.39	2.74	1.08	8.89
syrk_STANDARD		54471		 14042   	24125741259.64	9483415528.71	4142368.28	377424547.71	377391241.64	1184290.57	36.07	0	97.00	0	0	2.54	4142368.28	24.08	24.08	.07	1.00	323.50
trisolv_STANDARD		54509		  7022   	4202783359.00	9006785902.00	40299.28	46488341.42	42216206.00	35326305.85	29.85	0	97.00	0	0	.46	40299.28	2.96	2.69	2.25	1.10	1.19
trmm_STANDARD		54540		 14042   	21144867812.14	9562969882.07	5750263.21	342547058.07	400868217.07	41634929.07	38.78	0	97.00	0	0	2.21	5750263.21	21.85	25.57	2.65	.85	9.62
